date,cellCount,totalMines,passAMoves,canonicalSubsetMoves,genericSubsetMoves,advancedLogicMoves,disjunctiveMoves,wallEdgeCount,zeroClusterCount,fa_count,fb_count,fa_11,fb_11,fa_12,fb_12,fa_hole,fb_hole,fa_triangle,fb_triangle,fa_121,fb_121,fa_1221,fb_1221,fa_131,fb_131,fa_222,fb_222,fa_pair,fb_pair,fa_region,fb_region
2026-04-21,110,19,44,2,0,0,0,0,6,37,0,11,14,5,8,2,6,0,3,1,2,0,0,0,0,1,2,1,18,9,12
2026-04-22,88,24,38,0,0,0,0,0,3,32,0,3,9,3,10,6,0,0,1,1,0,0,2,0,0,0,2,4,1,6,9
2026-04-23,120,25,63,1,0,0,0,0,4,23,0,3,8,2,17,10,8,6,2,2,2,0,2,0,0,0,0,0,3,9,11
2026-04-24,81,22,26,1,0,9,0,0,3,16,0,1,0,2,3,6,0,0,0,0,1,0,0,0,2,0,1,3,4,13,15
2026-04-25,99,18,45,3,0,0,0,0,7,20,5,1,2,3,6,5,0,0,1,0,0,0,1,2,2,0,1,2,3,1,11
2026-04-26,96,18,42,0,0,0,0,0,3,24,0,0,6,5,2,8,6,0,6,0,0,0,0,0,0,0,1,1,12,4,9
2026-04-27,96,27,45,2,0,5,0,0,1,35,0,0,6,8,2,0,0,0,4,0,0,0,0,0,0,0,1,4,11,5,28
2026-04-28,110,28,47,2,0,0,0,0,6,35,0,1,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0
2026-04-29,64,15,16,0,3,3,0,10,1,15,0,0,5,0,2,4,0,0,0,0,0,0,2,0,1,0,0,0,6,0,3
2026-04-30,108,30,34,0,2,0,0,0,4,30,0,1,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9
2026-05-01,120,28,48,0,0,0,0,0,5,38,3,2,5,3,3,0,3,0,1,0,0,0,0,0,1,0,0,6,23,3,13
2026-05-02,132,31,53,2,0,25,0,0,5,44,0,6,9,2,8,0,0,0,0,0,1,0,0,0,0,1,9,15,16,4,29
2026-05-03,120,26,52,2,0,0,0,0,7,32,0,9,12,0,8,1,0,0,0,0,0,0,0,0,0,1,6,9,8,5,19
2026-05-04,88,14,35,0,0,0,0,0,4,26,0,6,17,1,7,2,0,0,0,0,0,0,0,0,0,0,4,0,4,1,4
2026-05-05,90,22,39,1,0,0,0,0,4,28,0,2,14,3,1,0,0,0,0,0,0,0,0,2,3,0,1,0,11,4,9
2026-05-06,110,25,38,3,0,4,0,8,3,24,0,3,3,2,5,0,2,0,0,3,3,0,0,0,0,1,6,2,11,9,9
2026-05-07,90,20,22,0,0,0,7,0,2,18,0,0,1,0,4,3,3,0,0,0,0,0,0,0,0,0,1,4,10,4,10
2026-05-08,88,15,32,0,0,0,0,6,3,22,0,6,11,0,2,0,2,0,0,0,0,0,0,0,0,0,6,1,1,2,9
2026-05-09,110,20,41,2,3,0,0,6,4,32,0,3,10,5,7,2,0,0,1,0,1,0,2,0,0,0,5,5,17,2,5
2026-05-10,88,24,40,2,0,0,0,0,3,18,0,1,3,4,3,4,3,0,0,0,0,0,0,0,1,1,1,7,8,7,21
2026-05-11,80,20,28,2,2,0,0,7,2,24,0,0,12,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5
2026-05-12,132,27,32,3,3,0,0,9,5,29,0,4,4,0,6,4,3,0,0,0,0,0,0,0,0,0,1,0,13,3,13
2026-05-13,110,29,37,1,6,13,0,10,4,22,0,8,12,1,5,6,6,0,0,0,0,0,0,0,0,0,0,11,14,9,20
2026-05-14,72,12,5,4,3,0,2,0,1,9,0,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,4,3,1,4
2026-05-15,96,27,46,1,0,0,0,0,2,24,0,1,6,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8
2026-05-16,88,25,24,0,6,5,0,7,3,20,0,0,2,0,3,6,0,0,3,0,0,0,0,0,0,0,0,2,8,0,12
2026-05-17,100,19,37,0,0,0,0,0,4,15,0,6,9,2,1,0,3,0,0,0,0,0,0,0,2,0,0,1,9,7,7
2026-05-18,108,28,40,2,5,6,0,0,3,29,0,4,0,2,7,2,1,3,3,2,0,0,0,0,0,0,1,4,6,7,17
2026-05-19,88,13,38,0,0,0,0,7,6,24,0,9,21,6,2,0,7,0,0,0,1,0,0,0,0,0,3,2,4,1,4
2026-05-20,81,18,25,0,0,0,0,0,2,15,0,0,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,6,0,6
2026-05-21,100,23,46,4,0,0,0,0,2,22,0,2,8,5,8,8,0,0,0,4,0,0,0,0,1,0,4,1,16,11,13
2026-05-22,80,23,20,0,0,0,9,0,2,22,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,1,3
2026-05-23,96,28,25,3,3,5,0,11,2,29,0,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,18
2026-05-24,72,17,22,1,0,2,0,0,1,15,0,1,5,1,4,0,0,0,0,0,0,0,2,0,0,0,4,4,7,4,3
