date,uid,time,bombBaseSum,bombHits,n_hints,archive
2026-04-17,AYXrTjKPieYrZI8sksnYqbI3Pmh1,167.1,0,3,0,0
2026-04-17,V07QPXYaICOOcP5ev6DXa2yG9y92,110.1,0,1,0,0
2026-04-18,V07QPXYaICOOcP5ev6DXa2yG9y92,100.1,0,0,0,0
2026-04-18,AYXrTjKPieYrZI8sksnYqbI3Pmh1,82.4,0,0,0,0
2026-04-19,V07QPXYaICOOcP5ev6DXa2yG9y92,60,0,0,0,0
2026-04-19,AYXrTjKPieYrZI8sksnYqbI3Pmh1,69.2,0,3,0,0
2026-04-20,AYXrTjKPieYrZI8sksnYqbI3Pmh1,270.5,0,1,0,0
2026-04-20,V07QPXYaICOOcP5ev6DXa2yG9y92,142.3,0,0,0,0
2026-04-21,V07QPXYaICOOcP5ev6DXa2yG9y92,65,0,0,0,0
2026-04-21,AYXrTjKPieYrZI8sksnYqbI3Pmh1,87.6,0,0,0,0
2026-04-22,AYXrTjKPieYrZI8sksnYqbI3Pmh1,53.8,0,0,0,0
2026-04-22,V07QPXYaICOOcP5ev6DXa2yG9y92,62.5,0,0,0,0
2026-04-23,V07QPXYaICOOcP5ev6DXa2yG9y92,147.5,0,0,0,0
2026-04-23,AYXrTjKPieYrZI8sksnYqbI3Pmh1,161.2,0,3,0,0
2026-04-24,V07QPXYaICOOcP5ev6DXa2yG9y92,65.5,0,0,0,0
2026-04-24,AYXrTjKPieYrZI8sksnYqbI3Pmh1,55,0,1,0,0
2026-04-25,V07QPXYaICOOcP5ev6DXa2yG9y92,54.4,0,2,0,0
2026-04-25,AYXrTjKPieYrZI8sksnYqbI3Pmh1,69.7,0,4,0,0
2026-04-26,V07QPXYaICOOcP5ev6DXa2yG9y92,46,0,0,0,0
2026-04-26,AYXrTjKPieYrZI8sksnYqbI3Pmh1,30.5,0,0,0,0
2026-04-27,V07QPXYaICOOcP5ev6DXa2yG9y92,125,0,2,0,0
2026-04-27,AYXrTjKPieYrZI8sksnYqbI3Pmh1,109.7,0,3,0,0
2026-04-28,V07QPXYaICOOcP5ev6DXa2yG9y92,123.8,0,2,0,0
2026-04-28,AYXrTjKPieYrZI8sksnYqbI3Pmh1,87.2,0,0,0,0
2026-04-29,V07QPXYaICOOcP5ev6DXa2yG9y92,68.5,0,1,0,0
2026-04-29,AYXrTjKPieYrZI8sksnYqbI3Pmh1,69.2,0,0,0,0
2026-04-30,V07QPXYaICOOcP5ev6DXa2yG9y92,89.3,0,0,0,0
2026-04-30,AYXrTjKPieYrZI8sksnYqbI3Pmh1,83,0,0,0,0
2026-05-01,V07QPXYaICOOcP5ev6DXa2yG9y92,128.1,0,3,0,0
2026-05-01,AYXrTjKPieYrZI8sksnYqbI3Pmh1,156.5,0,7,0,0
2026-05-02,V07QPXYaICOOcP5ev6DXa2yG9y92,179,0,1,0,0
2026-05-02,AYXrTjKPieYrZI8sksnYqbI3Pmh1,164,0,1,0,0
2026-05-03,AYXrTjKPieYrZI8sksnYqbI3Pmh1,92.3,0,1,0,0
2026-05-03,V07QPXYaICOOcP5ev6DXa2yG9y92,116.2,0,2,0,0
2026-05-04,V07QPXYaICOOcP5ev6DXa2yG9y92,32.5,0,0,0,0
2026-05-04,AYXrTjKPieYrZI8sksnYqbI3Pmh1,47.7,0,0,0,0
2026-05-05,V07QPXYaICOOcP5ev6DXa2yG9y92,126.5,0,1,0,0
2026-05-05,AYXrTjKPieYrZI8sksnYqbI3Pmh1,82.8,0,0,0,0
2026-05-06,V07QPXYaICOOcP5ev6DXa2yG9y92,127.3,0,2,0,0
2026-05-06,AYXrTjKPieYrZI8sksnYqbI3Pmh1,95.1,0,1,0,0
2026-05-07,V07QPXYaICOOcP5ev6DXa2yG9y92,62.9,0,0,0,0
2026-05-07,AYXrTjKPieYrZI8sksnYqbI3Pmh1,87.1,0,2,0,0
2026-05-08,V07QPXYaICOOcP5ev6DXa2yG9y92,41.6,0,0,0,0
2026-05-08,AYXrTjKPieYrZI8sksnYqbI3Pmh1,61,0,1,0,0
2026-05-09,AYXrTjKPieYrZI8sksnYqbI3Pmh1,53.9,0,1,0,0
2026-05-09,V07QPXYaICOOcP5ev6DXa2yG9y92,56.6,0,0,0,0
2026-05-09,l0szSlaOvVb67aYrDzNU7j687BC3,141.2,0,0,0,0
2026-05-10,V07QPXYaICOOcP5ev6DXa2yG9y92,151.3,0,1,0,0
2026-05-10,AYXrTjKPieYrZI8sksnYqbI3Pmh1,97.7,0,1,0,0
2026-05-11,AYXrTjKPieYrZI8sksnYqbI3Pmh1,88.5,0,1,0,0
